Rank,Title,Overall,Country,Region,Academic Reputation,Citations per Faculty,Faculty Student Ratio,Employer Reputation,International Student Ratio,International Research Network,International Faculty Ratio,Sustainabilty,FemaleStudentRatio,GDPperCapita,ImageLink
279,Vrije Universiteit Brussel (VUB),38.1,Belgium,Europe,23.3,18.2,76.1,13.7,58.2,93.1,93.6,72.1,54,80.92198385,https://www.topuniversities.com/sites/default/files/vrije-universiteit-brussel-vub_74_small.jpg
280,Ulsan National Institute of Science and Technology (UNIST),38,South Korea,Asia,13.6,98.1,87.9,13.5,9.6,24.8,29.3,16.1,28,71.9896875,https://www.topuniversities.com/sites/default/files/ulsan-national-institute-of-science-and-technology-unist_5ba37add9ed419611e043517_small.jpg
281,The Hebrew University of Jerusalem,37.9,Israel,Asia,32.8,19.4,79.3,18.2,23.8,77.8,53.2,34.2,54,83.85825362,https://www.topuniversities.com/sites/default/files/the-hebrew-university-of-jerusalem_256_small.jpg
282,University of Strathclyde,37.9,United Kingdom,Europe,25.9,31.8,16.7,30,64,85,93,88.6,51,78.90086953,https://www.topuniversities.com/sites/default/files/university-of-strathclyde_579_small.jpg
283,Université Paris 1 Panthéon-Sorbonne ,37.5,France,Europe,65.6,2.9,4.6,33.3,46.5,70.3,34.3,23.7,54,77.46249131,https://www.topuniversities.com/sites/default/files/universit-paris-1-panthon-sorbonne_482_small.jpg
284,Southern University of Science and Technology (SUSTech),37.3,China,Asia,9.3,98.8,89.7,2.5,1.4,48.3,37.5,31.6,54,52.76973633,https://www.topuniversities.com/sites/default/files/220530064029am250629Screenshot-at-May-30-14-39-50-48x48.jpg
285,Middle East Technical University,37.2,Türkiye,Asia,31.2,22.3,9,70.2,18.3,74.7,12,69.5,49,NA,https://www.topuniversities.com/sites/default/files/middle-east-technical-university_2110_small.jpg
286,Universidad Carlos III de Madrid (UC3M),37.2,Spain,Europe,33.5,4.1,49.5,56.3,52.3,66.3,64.8,68.3,54,70.02244012,https://www.topuniversities.com/sites/default/files/universidad-carlos-iii-de-madrid-uc3m_1509_small.jpg
287,University of Cologne,37.2,Germany,Europe,35.2,29.3,15.7,30.4,30.1,90.8,35.9,91.9,54,80.39040908,https://www.topuniversities.com/sites/default/files/university-of-cologne_592560cf2aeae70239af4bc6_small.jpg
288,University of Leicester,37.2,United Kingdom,Europe,19.8,43.4,30.8,13.7,95.3,88.8,80,75,54,78.90086953,https://www.topuniversities.com/sites/default/files/university-of-leicester_339_small.jpg
289,University of Milan,37.2,Italy,Europe,52.8,39.6,6.4,17,6.8,85.5,6.5,74.8,60,72.96288444,https://www.topuniversities.com/sites/default/files/230331095733am940735university-of-milan-1873-large-48x48.jpg
290,University of Surrey,37.2,United Kingdom,Europe,19.7,55.2,22.8,17.9,87.1,86.4,97.1,28.4,54,78.90086953,https://www.topuniversities.com/sites/default/files/230822021755pm944389Surrey-Logo-200x200px-48x48.jpg
291,Swinburne University of Technology,37.1,Australia,Oceania,13.9,86.5,12.4,11.4,77.3,66.1,94.9,15.4,42,86.09321752,https://www.topuniversities.com/sites/default/files/swinburne-university-of-technology_759_small.jpg
292,University of Bergen,37.1,Norway,Europe,31.6,28.3,64.9,8.3,16.9,90.7,93.3,33.6,61,96.49396244,https://www.topuniversities.com/sites/default/files/university-of-bergen_53_small.jpg
293,The University of Arizona,37,United States,North America,37.3,38.8,44.4,22.2,15.1,94.1,31.6,40.4,54,89.24293274,https://www.topuniversities.com/sites/default/files/the-university-of-arizona_26_small.jpg
294,University of Tasmania,37,Australia,Oceania,16,59.8,22.1,7.4,89.7,80,79.9,85.6,60,86.09321752,https://www.topuniversities.com/sites/default/files/university-of-tasmania_592560cf2aeae70239af4cd5_small.jpg
295,Xi’an Jiaotong University,36.9,China,Asia,19,89.5,14,39.4,3.8,80.5,3.9,18.2,35,52.76973633,https://www.topuniversities.com/sites/default/files/xian-jiaotong-university_683_small.jpg
296,Stellenbosch University,36.7,South Africa,Africa,26.1,61.9,3.5,35.8,8,94.8,19.7,22,56,39.20371445,https://www.topuniversities.com/sites/default/files/231205074857am619842su-logo-200x200-48x48.jpg
297,University of Virginia,36.6,United States,North America,37.3,29.1,55.8,27.3,11.3,81.6,6.1,35.4,54,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-virginia_656_small.jpg
298,Bauman Moscow State Technical University,36.5,Russia,Europe,36.2,1.4,99.9,51.9,70,15.2,65.6,6.8,42,56.86751092,https://www.topuniversities.com/sites/default/files/bauman-moscow-state-technical-university_592560cf2aeae70239af505c_small.jpg
299,Swansea University,36.5,United Kingdom,Europe,23.1,27.9,25.1,43.1,59.6,82.3,71,91.8,47,78.90086953,https://www.topuniversities.com/sites/default/files/220308050407pm529761Swansea-Uni-logo-200x200-photo-48x48.jpg
300,Huazhong University of Science and Technology,36.4,China,Asia,20.4,99.9,7.9,28.2,2.7,79.4,5.2,15,54,52.76973633,https://www.topuniversities.com/sites/default/files/huazhong-university-of-science-and-technology_592560cf2aeae70239af5256_small.jpg
301,Georgetown University,36.3,United States,North America,29.3,14,63,41.9,37.3,62.5,28,37,55,89.24293274,https://www.topuniversities.com/sites/default/files/220714055746am997087Georgetown-48x48.jpg
302,Beijing Institute of Technology,35.9,China,Asia,23.2,82,43.4,24.3,6.7,68.6,5.7,10.1,54,52.76973633,https://www.topuniversities.com/sites/default/files/beijing-institute-of-technology_868_small.jpg
