Rank,Title,Overall,Country,Region,Academic Reputation,Citations per Faculty,Faculty Student Ratio,Employer Reputation,International Student Ratio,International Research Network,International Faculty Ratio,Sustainabilty,FemaleStudentRatio,GDPperCapita,ImageLink
1,Massachusetts Institute of Technology (MIT) ,100,United States,North America,100,100,100,100,86.8,96,99.3,99,54,89.24293274,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg
2,Imperial College London,98.5,United Kingdom,Europe,98.5,93.9,98.2,99.5,99.6,97.4,100,99.7,42,78.90086953,https://www.topuniversities.com/sites/default/files/240430033452pm869301QS-Imperial-Logo-white-text-blue-background-48x48.jpg
3,University of Oxford,96.9,United Kingdom,Europe,100,84.8,100,100,97.7,100,98.1,85,49,78.90086953,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_small.jpg
4,Harvard University,96.8,United States,North America,100,100,96.3,100,69,99.6,74.1,84.4,51,89.24293274,https://www.topuniversities.com/sites/default/files/harvard-university_253_small.jpg
5,University of Cambridge,96.7,United Kingdom,Europe,100,84.6,100,100,94.8,99.3,100,84.8,48,78.90086953,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_small.jpg
6,Stanford University,96.1,United States,North America,100,99,100,100,60.8,96.8,70.3,81.2,47,89.24293274,https://www.topuniversities.com/sites/default/files/stanford-university_573_small.jpg
7,ETH Zurich,93.9,Switzerland,Europe,98.8,97.9,65.9,87.2,98.6,95.7,100,98.8,33,93.52750603,https://www.topuniversities.com/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_small.jpg
8,National University of Singapore (NUS),93.7,Singapore,Asia,99.5,93.1,68.8,91.1,88.9,91.6,100,97.7,54,91.35058971,https://www.topuniversities.com/sites/default/files/national-university-of-singapore-nus_443_small.jpg
9,UCL,91.6,United Kingdom,Europe,99.5,72.2,95.9,98.3,100,99.9,99,74.8,59,78.90086953,https://www.topuniversities.com/sites/default/files/240209111134am850728QS-UCL-icon-48x48.jpg
10,California Institute of Technology (Caltech),90.9,United States,North America,96.5,100,100,95.3,79.8,65.5,100,62.5,54,89.24293274,https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_small.jpg
11,University of Pennsylvania,90.3,United States,North America,96.3,74,99.8,91.9,66.2,91.9,90.9,93,54,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-pennsylvania_495_small.jpg
12,"University of California, Berkeley (UCB)",90.1,United States,North America,100,98.2,23.5,100,61,97.2,91.5,100,54,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-california-berkeley-ucb_84_small.jpg
13,The University of Melbourne,88.9,Australia,Oceania,98.5,93,15.4,93.9,99.8,97.4,95.1,99.6,54,86.09321752,https://www.topuniversities.com/sites/default/files/211118103607am165180PRIMARY-A-A4-Vertical-Housed-RGB-200px-48x48.jpg
14,Peking University,88.5,China,Asia,99.5,97.7,92.6,96.6,23.6,79.8,50.3,46.9,54,52.76973633,https://www.topuniversities.com/sites/default/files/peking-university_50_small.jpg
15,"Nanyang Technological University, Singapore (NTU Singapore)",88.4,Singapore,Asia,91.9,92.4,80.6,73.3,83.5,89.4,100,95.6,54,91.35058971,https://www.topuniversities.com/sites/default/files/nanyang-technological-university-singapore-ntu_592560cf2aeae70239af4c32_small.jpg
16,Cornell University,87.9,United States,North America,98.3,97.5,52.7,93.1,63.4,94,54.2,72.1,51,89.24293274,https://www.topuniversities.com/sites/default/files/cornell-university_143_small.jpg
17,The University of Hong Kong,87.6,Hong Kong,Asia,97.4,86.4,81.2,59.4,99.3,81.4,100,89.2,54,80.29230068,https://www.topuniversities.com/sites/default/files/the-university-of-hong-kong_268_small.jpg
18,The University of Sydney,87.3,Australia,Oceania,96.4,93.7,10.9,90,100,95.8,99.9,99.6,58,86.09321752,https://www.topuniversities.com/sites/default/files/the-university-of-sydney_592560cf2aeae70239af4cd0_small.jpg
19,The University of New South Wales (UNSW Sydney),87.1,Australia,Oceania,90.5,94.9,20.6,90.4,99.4,98.3,100,99.2,54,86.09321752,https://www.topuniversities.com/sites/default/files/221220094647am317557UNSW-Sydney-Logo-jpeg-48x48.jpg
20,Tsinghua University,86.5,China,Asia,99.2,99.1,95,97.7,13.4,79.2,18.1,40.4,54,52.76973633,https://www.topuniversities.com/sites/default/files/tsinghua-university_626_small.jpg
21,University of Chicago,86.2,United States,North America,99.1,60.8,94.2,96.4,87,85.1,79,46.9,54,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-chicago_120_small.jpg
22,Princeton University,85.5,United States,North America,99.8,100,57,98.3,56.6,78.3,9.6,51.5,47,89.24293274,https://www.topuniversities.com/sites/default/files/princeton-university_508_small.jpg
23,Yale University,85.2,United States,North America,99.9,38.6,100,99.9,63.3,93.9,91.5,92.2,51,89.24293274,https://www.topuniversities.com/sites/default/files/yale-university_684_small.jpg
24,Université PSL,84.7,France,Europe,74.4,87.6,98.1,97.6,65,99.8,62.3,73.4,54,77.46249131,https://www.topuniversities.com/sites/default/files/universit-psl_592560e69988f300e2321dfe_small.jpg
25,University of Toronto,84.1,Canada,North America,99.7,50.8,44.9,96.9,96.1,97.7,96.9,100,56,83.04588614,https://www.topuniversities.com/sites/default/files/university-of-toronto_619_small.jpg
26,EPFL – École polytechnique fédérale de Lausanne,83.5,Switzerland,Europe,84.2,93.6,91.2,67.2,100,81.7,100,86.7,54,93.52750603,https://www.topuniversities.com/sites/default/files/epfl-ecole-polytechnique-federale-de-lausanne_592560cf2aeae70239af4b34_small.jpg
27,The University of Edinburgh,83.3,United Kingdom,Europe,98.3,47.7,65.5,97.2,99.8,99.5,98.7,99,54,78.90086953,https://www.topuniversities.com/sites/default/files/the-university-of-edinburgh_180_small.jpg
28,Technical University of Munich,83.2,Germany,Europe,83,75.9,76.8,98.6,98.6,95.6,80.4,93.1,37,80.39040908,https://www.topuniversities.com/sites/default/files/technical-university-of-munich_599_small.jpg
29,McGill University,83,Canada,North America,94.3,57.9,62.3,87.6,89.6,94.2,83.7,99.1,61,83.04588614,https://www.topuniversities.com/sites/default/files/241015074048pm463694McGill-Martlet-48x48.jpg
30,Australian National University (ANU),82.4,Australia,Oceania,93.8,84.6,34.6,75.4,96.2,91.4,100,97.1,54,86.09321752,https://www.topuniversities.com/sites/default/files/ANU-crest-48x48.jpg
31,Seoul National University,82.3,South Korea,Asia,98.5,71.7,83.1,98.6,16.9,73.2,10.5,96,54,71.9896875,https://www.topuniversities.com/sites/default/files/graduate-school-of-business-seoul-national-university_553_small.jpg
32,Johns Hopkins University,82.1,United States,North America,86,84.2,100,62.6,95.8,98.7,63.7,61.9,56,89.24293274,https://www.topuniversities.com/sites/default/files/johns-hopkins-university_305_small.jpg
33,The University of Tokyo,82.1,Japan,Asia,100,57.3,89.3,99.8,29.7,87.4,10.1,98.3,54,73.04123134,https://www.topuniversities.com/sites/default/files/the-university-of-tokyo_615_small.jpg
34,Columbia University,82,United States,North America,99.6,31.7,100,98.8,97,98.5,41.5,71.8,54,89.24293274,https://www.topuniversities.com/sites/default/files/211207010540pm571294Webp.net-resizeimage-2021-12-07T150514.382-48x48.jpg
35,The University of Manchester,82,United Kingdom,Europe,95.6,45.1,51.3,98.1,99.2,99.2,93.1,99.8,54,78.90086953,https://www.topuniversities.com/sites/default/files/the-university-of-manchester_389_small.jpg
36,The Chinese University of Hong Kong (CUHK),81.3,Hong Kong,Asia,86.7,92.9,64.2,53.3,87.5,74.2,100,86.7,54,80.29230068,https://www.topuniversities.com/sites/default/files/230719090304am589775CUHK-acronym-logo-thumb-200x200%20%281%29_0.jpg
37,Monash University,81.2,Australia,Oceania,89.2,87.6,9.4,79.6,100,94.8,100,98.2,56,86.09321752,https://www.topuniversities.com/sites/default/files/monash-university_412_small.jpg
38,University of British Columbia,81,Canada,North America,98.3,57.7,34.5,94.3,72.8,96.2,95.5,99.8,55,83.04588614,https://www.topuniversities.com/sites/default/files/university-of-british-columbia_70_small.jpg
39,Fudan University,80.3,China,Asia,85.7,80.7,79.7,87.8,35.1,67.2,88.4,82.7,52,52.76973633,https://www.topuniversities.com/sites/default/files/fudan-university_218_small.jpg
40,King's College London,80.2,United Kingdom,Europe,90.3,53.6,64.3,85.7,99.5,98.6,99.1,96.2,54,78.90086953,https://www.topuniversities.com/sites/default/files/231024034600pm558869KCL-box-red-485-rgb-48x48.jpg
41,The University of Queensland,80.2,Australia,Oceania,86.7,90.2,21.2,74,100,96.7,100,96.7,55,86.09321752,https://www.topuniversities.com/sites/default/files/210824044126am970441uq-logo-48x48.jpg
42,"University of California, Los Angeles (UCLA)",79.8,United States,North America,100,74,35.4,99.8,22.3,95.5,42.2,67.1,54,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-california-los-angeles-ucla_87_small.jpg
43,New York University (NYU),79.6,United States,North America,96.3,28.6,90.5,98.8,98.1,92.6,30.2,95.4,54,89.24293274,https://www.topuniversities.com/sites/default/files/new-york-university-nyu_448_small.jpg
44,University of Michigan-Ann Arbor,79,United States,North America,97.9,47.6,80.3,92.1,39.2,95.8,65.5,62.2,51,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-michigan_403_small.jpg
45,Shanghai Jiao Tong University,77.8,China,Asia,84,99.6,58.6,86.3,19.6,73.7,23.1,80.3,37,52.76973633,https://www.topuniversities.com/sites/default/files/shanghai-jiao-tong-university_556_small.jpg
46,Institut Polytechnique de Paris,77.5,France,Europe,44.7,86.1,95.9,99.6,98,89.6,99.1,54.8,25,77.46249131,https://www.topuniversities.com/sites/default/files/240924074028am263366logo-ipp-pour-qs-48x48.jpg
47,The Hong Kong University of Science and Technology,77.1,Hong Kong,Asia,81.1,99.7,56.7,50.3,95.4,46.7,100,77.6,54,80.29230068,https://www.topuniversities.com/sites/default/files/the-hong-kong-university-of-science-and-technology_269_small.jpg
48,Zhejiang University,77.1,China,Asia,75.3,99.5,54.7,95.4,15.9,91.8,95,30.7,54,52.76973633,https://www.topuniversities.com/sites/default/files/zhejiang-university_592560cf2aeae70239af4d37_small.jpg
49,Delft University of Technology,77,Netherlands,Europe,74.4,79.7,39.4,83,91.4,93.7,100,99.1,31,83.13355324,https://www.topuniversities.com/sites/default/files/delft-university-of-technology_155_small.jpg
50,Kyoto University,76,Japan,Asia,98.8,39.3,94.2,99,19,85.7,15.9,85.2,25,73.04123134,https://www.topuniversities.com/sites/default/files/kyoto-university_328_small.jpg
51,Northwestern University,76,United States,North America,84,67.7,97.6,68,52,89.4,45.4,55.4,52,89.24293274,https://www.topuniversities.com/sites/default/files/northwestern-university_592560cf2aeae70239af4c50_small.jpg
52,The London School of Economics and Political Science (LSE),76,United Kingdom,Europe,67.2,69.4,35.1,97,100,81.2,100,91.3,54,78.90086953,https://www.topuniversities.com/sites/default/files/london-school-of-economics-and-political-science-lse_362_small.jpg
53,KAIST - Korea Advanced Institute of Science & Technology,75.7,South Korea,Asia,87.7,96.2,60.2,91,10.9,46.8,21.1,60.3,54,71.9896875,https://www.topuniversities.com/sites/default/files/kaist-korea-advanced-institute-of-science-technology_324_small.jpg
54,University of Bristol,75.4,United Kingdom,Europe,75.8,75.9,36.7,82.5,89.8,94.6,87.5,98.9,55,78.90086953,https://www.topuniversities.com/sites/default/files/240227125013pm861333White-48x48.jpg
55,University of Amsterdam,73.7,Netherlands,Europe,83.8,92.2,21.4,52.1,87.5,96.3,96,38.2,60,83.13355324,https://www.topuniversities.com/sites/default/files/240924020914pm288471UvA-logo-48x48.jpg
56,Yonsei University,72.9,South Korea,Asia,81.5,44.1,84.2,97,51.2,78.7,20.7,88.9,54,71.9896875,https://www.topuniversities.com/sites/default/files/yonsei-university_688_small.jpg
57,The Hong Kong Polytechnic University,72.1,Hong Kong,Asia,68,94.9,65,35.6,91.9,78.9,100,77.4,51,80.29230068,https://www.topuniversities.com/sites/default/files/the-hong-kong-polytechnic-university_267_small.jpg
58,Carnegie Mellon University,72,United States,North America,69.8,98.9,40.9,80.1,99.1,79.9,33.7,24.5,44,89.24293274,https://www.topuniversities.com/sites/default/files/carnegie-mellon-university_101_small.jpg
59,Ludwig-Maximilians-Universität München,71.6,Germany,Europe,92.2,50,38.5,86.6,37.6,95.5,75.1,62.2,54,80.39040908,https://www.topuniversities.com/sites/default/files/ludwig-maximilians-universitt-mnchen_420_small.jpg
60,Universiti Malaya (UM),71.2,Malaysia,Asia,82.9,29.1,75.7,95.1,64.2,91.8,60.2,83.6,54,51.26186439,https://www.topuniversities.com/sites/default/files/universiti-malaya-um_383_small.jpg
61,Duke University,70.8,United States,North America,86,35.1,100,74.7,61,93.3,16.3,75,52,89.24293274,https://www.topuniversities.com/sites/default/files/duke-university_168_small.jpg
62,City University of Hong Kong,70.7,Hong Kong,Asia,60.9,100,89.5,30.8,100,62.9,100,72.9,54,80.29230068,https://www.topuniversities.com/sites/default/files/240301064743am994206logo-48x48.jpg
63,KU Leuven,70.3,Belgium,Europe,84.6,91,7.1,49.6,47.7,99.5,93.8,51.2,52,80.92198385,https://www.topuniversities.com/sites/default/files/ku-leuven_592560cf2aeae70239af4aec_small.jpg
64,Sorbonne University,70.3,France,Europe,87.2,72.3,43,52,46.7,99.8,33.8,87.6,60,77.46249131,https://www.topuniversities.com/sites/default/files/sorbonne-university_5a6afcfecb4de709397114fe_small.jpg
65,The University of Auckland,69.7,New Zealand,Oceania,82.2,66.9,15.5,44.7,84,87.4,100,99.7,54,80.28335843,https://www.topuniversities.com/sites/default/files/221206065357am877738QS-Website-logo-01-48x48.jpg
66,University of Texas at Austin,69.5,United States,North America,93.5,76.7,8.1,86.6,11.7,91.7,6.1,52.1,55,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-texas-at-austin_604_small.jpg
67,Korea University,69,South Korea,Asia,78.2,45,73,93.8,45.7,65.7,15.2,85.2,54,71.9896875,https://www.topuniversities.com/sites/default/files/korea-university_325_small.jpg
68,National Taiwan University (NTU),68.7,Taiwan,Asia,93.4,44.3,25.5,92.1,27.4,71.5,16.7,90,41,NA,https://www.topuniversities.com/sites/default/files/national-taiwan-university-ntu_592560cf2aeae70239af4c3c_small.jpg
69,The University of Warwick,68.2,United Kingdom,Europe,72.2,37.7,35.5,86.4,99.1,94.2,98.1,89.7,54,78.90086953,https://www.topuniversities.com/sites/default/files/240325030130pm310608Warwick-logo-48x48.jpg
70,University of Illinois at Urbana-Champaign,68.2,United States,North America,83.9,77.5,6.4,75.7,56.3,90.4,14,65,51,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-illinois-at-urbana-champaign_2090_small.jpg
71,Universidad de Buenos Aires (UBA),67.6,Argentina,Latin America,94.1,1.6,71.7,94.1,64.6,73.4,63.9,51.8,54,54.82965427,https://www.topuniversities.com/sites/default/files/universidad-de-buenos-aires-uba_78_small.jpg
72,"University of California, San Diego (UCSD)",67.1,United States,North America,89.3,67,50.8,57.8,44.3,95.5,54.6,44.3,54,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-california-san-diego-ucsd_89_small.jpg
73,Université Paris-Saclay,67,France,Europe,60.7,35,99.8,99.1,58.6,98.6,35.7,72.6,50,77.46249131,https://www.topuniversities.com/sites/default/files/universit-paris-saclay_592560cf2aeae70239af4c6e_small.jpg
74,KTH Royal Institute of Technology ,65.7,Sweden,Europe,45.2,86.1,62.3,55.6,65.9,91.1,92,94.8,54,83.32357004,https://www.topuniversities.com/sites/default/files/kth-royal-institute-of-technology-_592560cf2aeae70239af4c9b_small.jpg
75,Lund University,65.6,Sweden,Europe,68.3,44.6,55.5,52.5,73.4,96.7,97.4,99.6,56,83.32357004,https://www.topuniversities.com/sites/default/files/lund-university_371_small.jpg
76,University of Washington,65.3,United States,North America,81.9,78.8,28.6,55.5,32.8,95.6,11,66.5,56,89.24293274,https://www.topuniversities.com/sites/default/files/240709093150am256263W-Logo-Purple-RGB-resized-48x48.jpg
77,The University of Western Australia,65.2,Australia,Oceania,55.5,98.8,13.1,41.8,99.8,94.2,100,50.8,50,86.09321752,https://www.topuniversities.com/sites/default/files/the-university-of-western-australia_673_small.jpg
78,University of Glasgow,65,United Kingdom,Europe,77.4,32.5,38,67.7,99.4,97.6,95.7,98.5,59,78.90086953,https://www.topuniversities.com/sites/default/files/university-of-glasgow_592560cf2aeae70239af4b6c_small.jpg
79,Brown University,64.7,United States,North America,59.9,76.4,77.7,49.6,50.9,83.2,79.9,46.6,54,89.24293274,https://www.topuniversities.com/sites/default/files/brown-university_72_small.jpg
80,University of Birmingham,64.1,United Kingdom,Europe,68.9,40.5,39,69,89.3,97.5,92.6,96.8,58,78.90086953,https://www.topuniversities.com/sites/default/files/university-of-birmingham_59_small.jpg
81,University of Southampton,64.1,United Kingdom,Europe,50.1,83.4,40.7,44.3,98,97.1,92.5,96.9,51,78.90086953,https://www.topuniversities.com/sites/default/files/241015033016pm657896University-of-Southampton-shield-blue-200-px-square-48x48.jpg
82,The University of Adelaide,63.8,Australia,Oceania,56,87,17.9,38.9,99.3,93.6,100,95.7,54,86.09321752,https://www.topuniversities.com/sites/default/files/the-university-of-adelaide_10_small.jpg
83,University of Leeds,63.8,United Kingdom,Europe,70.5,39.8,36.4,75.9,88.5,98.8,82.5,71.8,59,78.90086953,https://www.topuniversities.com/sites/default/files/University-of-Leeds-2-1-48x48.jpg
84,Universität Heidelberg,63.7,Germany,Europe,76.9,32.7,99.4,59.4,53.6,94.5,54.2,77.6,55,80.39040908,https://www.topuniversities.com/sites/default/files/221104124726pm969012uniHD-siegel-200x200k-48x48.jpg
85,Tokyo Institute of Technology (Tokyo Tech),63.7,Japan,Asia,75.1,43.1,84.1,94.1,30.5,61.2,23.4,62.2,54,73.04123134,https://www.topuniversities.com/sites/default/files/tokyo-institute-of-technology_592560cf2aeae70239af4ceb_small.jpg
86,Osaka University,63.5,Japan,Asia,82.4,54.9,45.2,87,12.2,68.2,23.9,68,32,73.04123134,https://www.topuniversities.com/sites/default/files/osaka-university_472_small.jpg
87,"Trinity College Dublin, The University of Dublin",62.9,Ireland,Europe,69.5,58.4,20.2,47.4,88,91.3,99.3,57.7,54,95.98810954,https://www.topuniversities.com/sites/default/files/trinity-college-dublin-the-university-of-dublin_167_small.jpg
88,University of Technology Sydney,62.4,Australia,Oceania,43.9,97.7,9.8,55,86,91.4,96.6,96.3,50,86.09321752,https://www.topuniversities.com/sites/default/files/university-of-technology-sydney_592560cf2aeae70239af4ccf_small.jpg
89,Durham University,61.7,United Kingdom,Europe,59.6,40.9,26.3,83.9,84.9,89.7,97.3,98.6,54,78.90086953,https://www.topuniversities.com/sites/default/files/durham-university_170_small.jpg
90,Pennsylvania State University,61.7,United States,North America,76.6,55.4,25,64.5,28,97.9,25.1,96.5,54,89.24293274,https://www.topuniversities.com/sites/default/files/pennsylvania-state-university_494_small.jpg
91,Purdue University,61.7,United States,North America,63.3,54.3,11.4,81.1,45.2,92.9,79.6,90.1,54,89.24293274,https://www.topuniversities.com/sites/default/files/230619052213pm191066PU-SIG-Logo-RGB--PU-V-Full-RGB-48x48.jpg
92,Universidade de São Paulo,61.6,Brazil,Latin America,92.8,28.5,21.4,74.6,2.1,95.9,6.8,93.6,54,46.15332796,https://www.topuniversities.com/sites/default/files/universidade-de-so-paulo_550_small.jpg
93,Pontificia Universidad Católica de Chile (UC),61.5,Chile,Latin America,93.7,8.8,23.7,98,3.7,82.5,26,79.3,54,56.87417626,https://www.topuniversities.com/sites/default/files/pontificia-universidad-catlica-de-chile-uc_107_small.jpg
94,Lomonosov Moscow State University,61.4,Russia,Europe,78,4.1,99.7,82.3,91.5,88.1,19.7,3.5,50,56.86751092,https://www.topuniversities.com/sites/default/files/lomonosov-moscow-state-university-_592560cf2aeae70239af4c27_small.jpg
95,Universidad Nacional Autónoma de México  (UNAM),61.4,Mexico,Latin America,97,2.4,37.4,94.4,2.3,93.2,7.5,83.4,54,49.96921193,https://www.topuniversities.com/sites/default/files/universidad-nacional-autnoma-de-mxico-unam_425_small.jpg
96,University of Alberta,61.2,Canada,North America,57,61.3,39.1,42.2,71,96,98.3,97.6,54,83.04588614,https://www.topuniversities.com/sites/default/files/240306052437pm316638378168-RankingLogo-QS-200x200px-48x48.jpg
97,Freie Universitaet Berlin,60.6,Germany,Europe,80.3,71.7,5,56.9,43.7,93.1,62.4,31.3,54,80.39040908,https://www.topuniversities.com/sites/default/files/freie-universitaet-berlin_215_small.jpg
98,Pohang University of Science And Technology (POSTECH),60.3,South Korea,Asia,45.9,96.9,99.9,80,2.7,26.6,27.6,36.6,54,71.9896875,https://www.topuniversities.com/sites/default/files/pohang-university-of-science-and-technology-postech_592560cf2aeae70239af4c7b_small.jpg
99,RWTH Aachen University,59.9,Germany,Europe,46.6,71.9,6.3,93.7,85.5,86.1,48.6,84.8,34,80.39040908,https://www.topuniversities.com/sites/default/files/rwth-aachen-university_4_small.jpg
100,University of Copenhagen,59.6,Denmark,Europe,74,23.1,99.8,31.6,15.6,98.2,84.9,73.2,62,87.04624269,https://www.topuniversities.com/sites/default/files/university-of-copenhagen_141_small.jpg
101,KFUPM,59.5,Saudi Arabia,Asia,38,78,86,46.5,47.6,73.9,100,20.1,54,73.39639355,https://www.topuniversities.com/sites/default/files/240507073218am299774newest-logo-KFUPM-48x48.jpg
102,"KIT, Karlsruhe Institute of Technology",59.4,Germany,Europe,44.9,68.4,39.4,80.9,42.9,86.4,70.5,75.3,54,80.39040908,https://www.topuniversities.com/sites/default/files/kit-karlsruhe-institute-of-technology_310_small.jpg
103,Uppsala University,59.3,Sweden,Europe,61.4,42.3,52,33.7,81.1,96.7,99.4,99.2,60,83.32357004,https://www.topuniversities.com/sites/default/files/uppsala-university_643_small.jpg
104,University of St Andrews,59.2,United Kingdom,Europe,46.5,49.2,64.7,63.2,100,83.8,98.4,91.1,58,78.90086953,https://www.topuniversities.com/sites/default/files/university-of-st-andrews_570_small.jpg
105,The University of Sheffield,59.1,United Kingdom,Europe,58.3,43.9,52.5,48.7,96.8,95.8,83.3,97.7,54,78.90086953,https://www.topuniversities.com/sites/default/files/230919100158am438629UoS-logo-48x48.jpg
106,Utrecht University,59.1,Netherlands,Europe,66.5,79.5,31,38.8,19.4,97.3,55.7,61.9,54,83.13355324,https://www.topuniversities.com/sites/default/files/utrecht-university_646_small.jpg
107,Tohoku University,58.8,Japan,Asia,73.8,23.9,97.8,82.8,11.4,68.3,14.1,78.6,28,73.04123134,https://www.topuniversities.com/sites/default/files/tohoku-university_611_small.jpg
108,Boston University,58.6,United States,North America,61.9,41.3,38.3,69.1,88.9,86.9,34.3,65.9,58,89.24293274,https://www.topuniversities.com/sites/default/files/boston-university_592560cf2aeae70239af4ac2_small.jpg
109,University of Nottingham,58.5,United Kingdom,Europe,61.1,37.6,32.8,65.8,70.5,98,89.4,97,54,78.90086953,https://www.topuniversities.com/sites/default/files/240606102649am426810UoN-NottinghamBlue-CastleBox-RGB-48x48.jpg
110,Technical University of Denmark,58.3,Denmark,Europe,33.2,84.4,99.1,22.1,87.7,88.1,100,47.9,32,87.04624269,https://www.topuniversities.com/sites/default/files/technical-university-of-denmark_592560cf2aeae70239af4cd8_small.jpg
111,University of Zurich,58.3,Switzerland,Europe,59.9,40.1,92.2,26.4,42.8,94.3,100,58.7,58,93.52750603,https://www.topuniversities.com/sites/default/files/university-of-zurich_693_small.jpg
112,Politecnico di Milano,58.2,Italy,Europe,70.8,40.2,5.8,77,56.8,88.1,67.4,72.6,35,72.96288444,https://www.topuniversities.com/sites/default/files/politecnico-di-milano_592560cf2aeae70239af4c1c_small.jpg
113,Aalto University,57.9,Finland,Europe,45.7,73.6,33.2,40.6,40.1,78.2,95.2,94.7,39,81.21874008,https://www.topuniversities.com/sites/default/files/230913111738am272302Aalto-University-logo-200x200-48x48.jpg
114,Georgia Institute of Technology,57.3,United States,North America,67.1,52.8,20.3,82.6,66.4,75.5,21.3,39.5,34,89.24293274,https://www.topuniversities.com/sites/default/files/georgia-institute-of-technology_225_small.jpg
115,University of Waterloo,57.2,Canada,North America,40.4,78.9,6.5,64.2,71.3,84.6,75.8,93.3,47,83.04588614,https://www.topuniversities.com/sites/default/files/university-of-waterloo_670_small.jpg
116,University of Wisconsin-Madison,57.1,United States,North America,77.7,23.7,74.3,47.8,23.6,91.6,35.3,59.6,54,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-wisconsin-madison_678_small.jpg
117,University of Helsinki,56.8,Finland,Europe,62.3,49.6,59.4,29.1,5.7,96.9,73.4,94.5,67,81.21874008,https://www.topuniversities.com/sites/default/files/university-of-helsinki_260_small.jpg
118,Indian Institute of Technology Bombay (IITB),56.3,India,Asia,58.5,79.1,14.4,86,1.3,52.3,4.3,52.5,54,18.52273058,https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-bombay-iitb_281_small.jpg
119,University of Oslo,56.1,Norway,Europe,55.6,55.7,73.8,16,31.7,97.3,91.6,72.1,66,96.49396244,https://www.topuniversities.com/sites/default/files/university-of-oslo_473_small.jpg
120,Queen Mary University of London,55.8,United Kingdom,Europe,48.3,62.8,30.4,36.9,99.2,92.5,99.5,95.6,54,78.90086953,https://www.topuniversities.com/sites/default/files/queen-mary-university-of-london_592560cf2aeae70239af4bea_small.jpg
121,Western University,55.8,Canada,North America,32.6,93.4,3.3,38.9,49.5,81.5,99.8,99.3,56,83.04588614,https://www.topuniversities.com/sites/default/files/the-university-of-western-ontario_674_small.jpg
122,Qatar University,55.7,Qatar,Asia,29.8,48.2,68.1,50.6,96.5,89.4,100,74,77,91.20628292,https://www.topuniversities.com/sites/default/files/qatar-university_2537_small.jpg
123,RMIT University,55.5,Australia,Oceania,40.4,77.7,5.2,48,91.4,83.2,100,93.9,48,86.09321752,https://www.topuniversities.com/sites/default/files/rmit-university_592560cf2aeae70239af4c95_small.jpg
124,Sungkyunkwan University (SKKU),55.5,South Korea,Asia,57.9,41.3,80.5,70.7,41.7,54.2,17.5,79.1,54,71.9896875,https://www.topuniversities.com/sites/default/files/sungkyunkwan-universityskku_592560cf2aeae70239af4cc9_small.jpg
125,University of Southern California,55.2,United States,North America,50.4,58,17.3,54.5,74.1,85.8,26,97.7,49,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-southern-california_569_small.jpg
126,Humboldt-Universität zu Berlin,55,Germany,Europe,89.2,27,7.4,69.9,35.1,93.1,69.1,19.9,54,80.39040908,https://www.topuniversities.com/sites/default/files/humboldt-universitt-zu-berlin_272_small.jpg
127,University College Dublin,55,Ireland,Europe,51.4,46.4,16.6,43.5,74.8,87.2,99.1,95.6,54,95.98810954,https://www.topuniversities.com/sites/default/files/university-college-dublin_166_small.jpg
128,Stockholm University,54.8,Sweden,Europe,52.5,64.5,26.7,21,89.8,95.7,80.7,58.7,54,83.32357004,https://www.topuniversities.com/sites/default/files/stockholm-university_577_small.jpg
129,Newcastle University,54.5,United Kingdom,Europe,50,38.7,39.2,59.3,68.6,97.1,89.5,97.1,53,78.90086953,https://www.topuniversities.com/sites/default/files/newcastle-university_592560cf2aeae70239af4c45_small.jpg
130,"University of California, Davis",54.4,United States,North America,63,52.5,23.5,48,51.3,90.6,72.7,76.1,60,89.24293274,https://www.topuniversities.com/sites/default/files/university-of-california-davis_592560cf2aeae70239af4ad8_small.jpg
131,University of Basel,54.3,Switzerland,Europe,26.6,94.5,61.4,13.5,85.8,89.4,100,44.6,56,93.52750603,https://www.topuniversities.com/sites/default/files/university-of-basel_46_small.jpg
132,Sapienza University of Rome,54.2,Italy,Europe,80.7,45.3,5,48.5,8,97.1,3.1,72.3,61,72.96288444,https://www.topuniversities.com/sites/default/files/sapienza-university-of-rome_592560cf2aeae70239af4c97_small.jpg
133,Alma Mater Studiorum - Università di Bologna,54.1,Italy,Europe,80.8,46.6,3.7,47.8,12.3,96,14.5,88.4,54,72.96288444,https://www.topuniversities.com/sites/default/files/240304015357pm262606Unibo-200X200-48x48.jpg
